sample,time_s,Fx,Fy,Fz,Mx,My,Mz,COP_AP,COP_ML,fs
143,0.143,2.605922,1.819202,689.679476,0.218304,-0.312711,0.021701,-38.851709,12.032150,1000
144,0.144,2.603729,1.814357,689.650092,0.217723,-0.312448,0.021817,-38.837584,12.033577,1000
145,0.145,2.601350,1.809411,689.620490,0.217129,-0.312162,0.021933,-38.823543,12.034962,1000
146,0.146,2.598783,1.804365,689.590687,0.216524,-0.311854,0.022049,-38.809587,12.036303,1000
147,0.147,2.596033,1.799219,689.560698,0.215906,-0.311524,0.022164,-38.795717,12.037602,1000
148,0.148,2.593099,1.793973,689.530539,0.215277,-0.311172,0.022278,-38.781932,12.038859,1000
149,0.149,2.589983,1.788627,689.500227,0.214635,-0.310798,0.022391,-38.768233,12.040071,1000
150,0.150,2.586688,1.783182,689.469777,0.213982,-0.310403,0.022503,-38.754621,12.041241,1000
151,0.151,2.583214,1.777636,689.439205,0.213316,-0.309986,0.022615,-38.741094,12.042367,1000
152,0.152,2.579564,1.771992,689.408527,0.212639,-0.309548,0.022726,-38.727655,12.043449,1000
153,0.153,2.575739,1.766248,689.377760,0.211950,-0.309089,0.022837,-38.714303,12.044487,1000
154,0.154,2.571740,1.760405,689.346919,0.211249,-0.308609,0.022946,-38.701038,12.045482,1000
155,0.155,2.567571,1.754463,689.316022,0.210536,-0.308108,0.023055,-38.687860,12.046432,1000
156,0.156,2.563232,1.748423,689.285083,0.209811,-0.307588,0.023163,-38.674771,12.047338,1000
157,0.157,2.558725,1.742284,689.254120,0.209074,-0.307047,0.023271,-38.661770,12.048199,1000
158,0.158,2.554052,1.736048,689.223148,0.208326,-0.306486,0.023378,-38.648857,12.049015,1000
159,0.159,2.549215,1.729713,689.192184,0.207566,-0.305906,0.023483,-38.636033,12.049787,1000
160,0.160,2.544216,1.723281,689.161244,0.206794,-0.305306,0.023589,-38.623297,12.050514,1000
161,0.161,2.539058,1.716752,689.130344,0.206010,-0.304687,0.023693,-38.610651,12.051195,1000
162,0.162,2.533741,1.710125,689.099500,0.205215,-0.304049,0.023797,-38.598095,12.051832,1000
163,0.163,2.528268,1.703402,689.068728,0.204408,-0.303392,0.023900,-38.585628,12.052422,1000
164,0.164,2.522641,1.696583,689.038045,0.203590,-0.302717,0.024002,-38.573250,12.052967,1000
165,0.165,2.516862,1.689667,689.007466,0.202760,-0.302023,0.024103,-38.560963,12.053467,1000
166,0.166,2.510933,1.682656,688.977008,0.201919,-0.301312,0.024204,-38.548767,12.053920,1000
167,0.167,2.504856,1.675549,688.946686,0.201066,-0.300583,0.024304,-38.536661,12.054328,1000
168,0.168,2.498634,1.668348,688.916516,0.200202,-0.299836,0.024403,-38.524646,12.054689,1000
169,0.169,2.492269,1.661051,688.886514,0.199326,-0.299072,0.024501,-38.512721,12.055004,1000
170,0.170,2.485762,1.653661,688.856696,0.198439,-0.298291,0.024599,-38.500888,12.055272,1000
171,0.171,2.479116,1.646176,688.827077,0.197541,-0.297494,0.024695,-38.489147,12.055494,1000
172,0.172,2.472333,1.638598,688.797674,0.196632,-0.296680,0.024791,-38.477496,12.055668,1000
173,0.173,2.465416,1.630927,688.768500,0.195711,-0.295850,0.024886,-38.465938,12.055796,1000
174,0.174,2.458367,1.623163,688.739573,0.194780,-0.295004,0.024981,-38.454472,12.055877,1000
175,0.175,2.451187,1.615308,688.710906,0.193837,-0.294142,0.025074,-38.443098,12.055911,1000
176,0.176,2.443880,1.607360,688.682516,0.192883,-0.293266,0.025167,-38.431816,12.055898,1000
177,0.177,2.436448,1.599321,688.654416,0.191919,-0.292374,0.025259,-38.420627,12.055837,1000
178,0.178,2.428893,1.591191,688.626623,0.190943,-0.291467,0.025350,-38.409530,12.055728,1000
179,0.179,2.421217,1.582971,688.599150,0.189956,-0.290546,0.025440,-38.398527,12.055572,1000
180,0.180,2.413424,1.574661,688.572013,0.188959,-0.289611,0.025530,-38.387616,12.055368,1000
181,0.181,2.405514,1.566261,688.545226,0.187951,-0.288662,0.025619,-38.376798,12.055116,1000
182,0.182,2.397492,1.557773,688.518803,0.186933,-0.287699,0.025706,-38.366074,12.054816,1000
183,0.183,2.389359,1.549196,688.492758,0.185904,-0.286723,0.025793,-38.355443,12.054467,1000
184,0.184,2.381117,1.540531,688.467105,0.184864,-0.285734,0.025880,-38.344906,12.054071,1000
185,0.185,2.372770,1.531779,688.441859,0.183814,-0.284732,0.025965,-38.334463,12.053626,1000
186,0.186,2.364319,1.522941,688.417033,0.182753,-0.283718,0.026050,-38.324113,12.053132,1000
187,0.187,2.355768,1.514016,688.392639,0.181682,-0.282692,0.026133,-38.313858,12.052590,1000
188,0.188,2.347118,1.505005,688.368693,0.180601,-0.281654,0.026216,-38.303697,12.051999,1000
189,0.189,2.338373,1.495909,688.345206,0.179509,-0.280605,0.026298,-38.293629,12.051359,1000
190,0.190,2.329535,1.486729,688.322192,0.178408,-0.279544,0.026379,-38.283657,12.050671,1000
191,0.191,2.320606,1.477465,688.299663,0.177296,-0.278473,0.026460,-38.273778,12.049933,1000
192,0.192,2.311590,1.468118,688.277632,0.176174,-0.277391,0.026539,-38.263994,12.049146,1000
193,0.193,2.302488,1.458688,688.256111,0.175043,-0.276299,0.026618,-38.254305,12.048310,1000
194,0.194,2.293303,1.449176,688.235112,0.173901,-0.275196,0.026696,-38.244711,12.047424,1000
195,0.195,2.284039,1.439583,688.214647,0.172750,-0.274085,0.026773,-38.235211,12.046489,1000
196,0.196,2.274697,1.429909,688.194729,0.171589,-0.272964,0.026849,-38.225807,12.045504,1000
197,0.197,2.265280,1.420155,688.175367,0.170419,-0.271834,0.026924,-38.216497,12.044469,1000
198,0.198,2.255791,1.410321,688.156574,0.169239,-0.270695,0.026999,-38.207282,12.043385,1000
199,0.199,2.246232,1.400409,688.138359,0.168049,-0.269548,0.027072,-38.198163,12.042251,1000
200,0.200,2.236607,1.390418,688.120735,0.166850,-0.268393,0.027145,-38.189139,12.041067,1000
201,0.201,2.226918,1.380351,688.103712,0.165642,-0.267230,0.027217,-38.180210,12.039833,1000
202,0.202,2.217167,1.370206,688.087299,0.164425,-0.266060,0.027288,-38.171376,12.038549,1000
203,0.203,2.207357,1.359986,688.071506,0.163198,-0.264883,0.027358,-38.162638,12.037214,1000
204,0.204,2.197492,1.349690,688.056344,0.161963,-0.263699,0.027427,-38.153995,12.035830,1000
205,0.205,2.187573,1.339320,688.041821,0.160718,-0.262509,0.027495,-38.145447,12.034394,1000
206,0.206,2.177603,1.328876,688.027947,0.159465,-0.261312,0.027562,-38.136995,12.032909,1000
207,0.207,2.167585,1.318358,688.014731,0.158203,-0.260110,0.027629,-38.128639,12.031373,1000
208,0.208,2.157522,1.307769,688.002181,0.156932,-0.258903,0.027695,-38.120378,12.029786,1000
209,0.209,2.147417,1.297108,687.990305,0.155653,-0.257690,0.027759,-38.112212,12.028149,1000
210,0.210,2.137271,1.286376,687.979113,0.154365,-0.256473,0.027823,-38.104143,12.026461,1000
211,0.211,2.127089,1.275574,687.968610,0.153069,-0.255251,0.027886,-38.096168,12.024722,1000
212,0.212,2.116872,1.264703,687.958806,0.151764,-0.254025,0.027948,-38.088290,12.022932,1000
213,0.213,2.106623,1.253764,687.949706,0.150452,-0.252795,0.028010,-38.080506,12.021091,1000
214,0.214,2.096345,1.242757,687.941319,0.149131,-0.251561,0.028070,-38.072819,12.019199,1000
215,0.215,2.086041,1.231683,687.933649,0.147802,-0.250325,0.028129,-38.065227,12.017256,1000
216,0.216,2.075713,1.220543,687.926705,0.146465,-0.249086,0.028188,-38.057731,12.015262,1000
217,0.217,2.065365,1.209338,687.920492,0.145121,-0.247844,0.028246,-38.050330,12.013217,1000
218,0.218,2.054998,1.198068,687.915014,0.143768,-0.246600,0.028302,-38.043024,12.011120,1000
219,0.219,2.044615,1.186735,687.910279,0.142408,-0.245354,0.028358,-38.035814,12.008972,1000
220,0.220,2.034220,1.175339,687.906291,0.141041,-0.244106,0.028413,-38.028700,12.006773,1000
221,0.221,2.023814,1.163882,687.903054,0.139666,-0.242858,0.028467,-38.021681,12.004522,1000
222,0.222,2.013401,1.152363,687.900573,0.138284,-0.241608,0.028520,-38.014757,12.002220,1000
223,0.223,2.002982,1.140785,687.898853,0.136894,-0.240358,0.028572,-38.007929,11.999866,1000
224,0.224,1.992562,1.129147,687.897896,0.135498,-0.239107,0.028623,-38.001196,11.997461,1000
225,0.225,1.982142,1.117450,687.897707,0.134094,-0.237857,0.028674,-37.994558,11.995004,1000
226,0.226,1.971725,1.105697,687.898289,0.132684,-0.236607,0.028723,-37.988015,11.992495,1000
227,0.227,1.961314,1.093886,687.899644,0.131266,-0.235358,0.028772,-37.981568,11.989935,1000
228,0.228,1.950911,1.082020,687.901775,0.129842,-0.234109,0.028819,-37.975215,11.987323,1000
229,0.229,1.940519,1.070100,687.904684,0.128412,-0.232862,0.028866,-37.968957,11.984659,1000
230,0.230,1.930140,1.058125,687.908374,0.126975,-0.231617,0.028912,-37.962794,11.981943,1000
231,0.231,1.919778,1.046098,687.912845,0.125532,-0.230373,0.028957,-37.956726,11.979176,1000
232,0.232,1.909434,1.034018,687.918099,0.124082,-0.229132,0.029000,-37.950753,11.976356,1000
233,0.233,1.899111,1.021887,687.924137,0.122626,-0.227893,0.029043,-37.944874,11.973485,1000
234,0.234,1.888812,1.009706,687.930959,0.121165,-0.226657,0.029085,-37.939090,11.970562,1000
235,0.235,1.878540,0.997476,687.938566,0.119697,-0.225425,0.029127,-37.933399,11.967587,1000
236,0.236,1.868296,0.985198,687.946957,0.118224,-0.224196,0.029167,-37.927804,11.964559,1000
237,0.237,1.858083,0.972872,687.956133,0.116745,-0.222970,0.029206,-37.922302,11.961480,1000
238,0.238,1.847905,0.960500,687.966092,0.115260,-0.221749,0.029244,-37.916894,11.958349,1000
239,0.239,1.837762,0.948083,687.976833,0.113770,-0.220531,0.029282,-37.911581,11.955166,1000
240,0.240,1.827659,0.935621,687.988355,0.112274,-0.219319,0.029318,-37.906360,11.951930,1000
241,0.241,1.817596,0.923115,688.000657,0.110774,-0.218112,0.029354,-37.901234,11.948643,1000
242,0.242,1.807577,0.910568,688.013735,0.109268,-0.216909,0.029388,-37.896201,11.945303,1000
243,0.243,1.797604,0.897978,688.027589,0.107757,-0.215712,0.029422,-37.891262,11.941912,1000
244,0.244,1.787679,0.885348,688.042215,0.106242,-0.214521,0.029454,-37.886415,11.938468,1000
245,0.245,1.777805,0.872679,688.057610,0.104721,-0.213337,0.029486,-37.881662,11.934972,1000
246,0.246,1.767984,0.859971,688.073771,0.103196,-0.212158,0.029517,-37.877001,11.931424,1000
247,0.247,1.758218,0.847225,688.090694,0.101667,-0.210986,0.029547,-37.872434,11.927824,1000
248,0.248,1.748510,0.834443,688.108375,0.100133,-0.209821,0.029576,-37.867958,11.924172,1000
249,0.249,1.738862,0.821625,688.126811,0.098595,-0.208663,0.029604,-37.863576,11.920467,1000
250,0.250,1.729276,0.808773,688.145995,0.097053,-0.207513,0.029631,-37.859285,11.916711,1000
251,0.251,1.719754,0.795888,688.165925,0.095507,-0.206370,0.029657,-37.855086,11.912902,1000
252,0.252,1.710299,0.782969,688.186593,0.093956,-0.205236,0.029682,-37.850980,11.909041,1000
253,0.253,1.700912,0.770020,688.207996,0.092402,-0.204109,0.029706,-37.846964,11.905128,1000
254,0.254,1.691597,0.757040,688.230126,0.090845,-0.202992,0.029729,-37.843041,11.901163,1000
255,0.255,1.682355,0.744030,688.252978,0.089284,-0.201883,0.029751,-37.839208,11.897146,1000
256,0.256,1.673187,0.730992,688.276546,0.087719,-0.200782,0.029773,-37.835467,11.893077,1000
257,0.257,1.664097,0.717927,688.300822,0.086151,-0.199692,0.029793,-37.831816,11.888956,1000
258,0.258,1.655087,0.704835,688.325800,0.084580,-0.198610,0.029813,-37.828256,11.884783,1000
259,0.259,1.646157,0.691718,688.351472,0.083006,-0.197539,0.029831,-37.824787,11.880557,1000
260,0.260,1.637311,0.678577,688.377830,0.081429,-0.196477,0.029849,-37.821407,11.876280,1000
261,0.261,1.628550,0.665413,688.404868,0.079850,-0.195426,0.029865,-37.818118,11.871951,1000
262,0.262,1.619877,0.652226,688.432576,0.078267,-0.194385,0.029881,-37.814918,11.867569,1000
263,0.263,1.611292,0.639019,688.460946,0.076682,-0.193355,0.029895,-37.811808,11.863136,1000
264,0.264,1.602799,0.625791,688.489970,0.075095,-0.192336,0.029909,-37.808787,11.858651,1000
265,0.265,1.594398,0.612544,688.519638,0.073505,-0.191328,0.029922,-37.805855,11.854114,1000
266,0.266,1.586092,0.599280,688.549941,0.071914,-0.190331,0.029933,-37.803012,11.849525,1000
267,0.267,1.577883,0.585998,688.580870,0.070320,-0.189346,0.029944,-37.800257,11.844884,1000
268,0.268,1.569771,0.572701,688.612414,0.068724,-0.188373,0.029954,-37.797590,11.840192,1000
269,0.269,1.561760,0.559389,688.644564,0.067127,-0.187411,0.029963,-37.795012,11.835448,1000
270,0.270,1.553851,0.546063,688.677309,0.065528,-0.186462,0.029971,-37.792521,11.830652,1000
271,0.271,1.546045,0.532724,688.710639,0.063927,-0.185525,0.029978,-37.790118,11.825804,1000
